id,region,age,education_years,income,gender,employment_status,marital_status,household_size,weekly_work_hours,support_1,support_2,support_3,support_4,support_5,stress_1,stress_2,stress_3,stress_4,stress_5,life_satisfaction_1,life_satisfaction_2,life_satisfaction_3,life_satisfaction_4,life_satisfaction_5
259,B,54,12,427,male,self_employed,married,4,66,3,4,2,4,1,4,4,2,3,2,2,1,2,1,3
260,A,72,12,244,male,regular,married,4,42,2,2,2,2,5,2,3,5,4,3,2,1,1,1,3
261,A,77,16,101,male,not_employed,divorced,1,0,4,3,2,4,1,3,3,2,4,3,2,3,3,4,3
262,B,36,12,410,female,regular,married,3,41,4,3,3,3,3,2,1,1,3,3,2,3,3,2,1
263,A,70,14,125,male,nonregular,widowed,1,25,2,2,2,2,3,5,3,3,2,3,1,2,1,2,4
264,A,38,12,388,male,regular,married,3,35,3,2,2,1,5,1,1,1,1,5,3,5,4,5,2
265,A,64,12,123,female,nonregular,married,4,22,4,2,3,3,4,4,3,3,4,1,1,2,3,2,3
266,A,30,9,354,female,regular,married,4,45,2,2,4,4,2,3,3,4,3,3,4,4,2,5,2
267,B,55,14,639,male,regular,married,3,43,4,2,3,4,4,4,4,3,4,3,4,1,3,3,5
268,A,55,12,323,female,not_employed,married,2,0,1,1,1,1,5,4,5,5,4,2,1,1,2,2,4
269,A,70,16,588,male,regular,married,3,51,4,3,3,4,2,4,3,2,3,5,5,5,5,4,2
270,A,68,16,422,female,regular,widowed,6,39,3,3,1,3,4,2,3,1,3,4,4,3,3,3,2
271,B,75,14,375,female,self_employed,widowed,1,33,2,2,2,2,3,4,4,4,3,3,4,4,5,4,4
272,B,78,12,208,male,not_employed,married,2,0,2,3,3,3,3,1,2,2,3,2,4,5,4,5,1
273,B,55,16,0,male,not_employed,married,3,0,4,5,4,4,2,1,1,2,1,5,4,5,3,5,1
274,A,35,14,331,female,self_employed,married,2,29,3,3,3,3,3,3,2,2,4,4,3,2,1,3,3
275,A,58,9,0,male,not_employed,married,6,0,4,4,5,3,2,1,1,1,1,5,2,4,4,3,2
276,A,77,16,504,female,regular,married,2,35,4,4,5,5,4,1,2,1,1,5,3,3,3,4,3
277,A,52,18,856,female,regular,widowed,1,37,4,3,4,3,4,2,3,3,2,2,4,4,5,4,3
278,A,24,12,186,male,nonregular,never_married,4,30,1,3,1,1,5,3,3,3,3,1,1,1,1,1,5
279,A,61,12,198,female,nonregular,widowed,2,22,3,2,2,2,3,1,2,1,1,4,4,4,3,4,4
280,A,49,12,712,male,regular,married,4,43,4,2,3,3,3,2,1,1,1,5,2,2,2,1,4
281,A,68,14,0,female,not_employed,married,4,0,3,4,4,5,1,2,1,3,1,3,5,3,3,4,3
282,B,41,12,218,male,nonregular,married,3,17,4,4,4,4,2,3,3,3,3,3,2,2,5,4,4
283,B,61,16,573,female,self_employed,married,3,35,3,3,2,2,3,2,2,2,2,4,2,1,3,2,4
284,B,32,16,105,male,nonregular,married,2,16,3,3,2,4,3,4,4,3,5,3,3,4,2,3,4
285,A,63,16,151,female,nonregular,married,2,9,3,4,2,4,1,2,3,3,2,2,5,4,3,5,1
286,B,54,16,558,male,regular,divorced,4,42,4,4,4,3,3,2,2,2,1,3,4,4,5,4,2
287,A,23,12,139,female,nonregular,married,3,25,3,4,4,3,2,3,4,1,1,3,3,4,3,3,4
288,B,69,14,321,male,regular,married,4,43,3,2,1,1,4,3,5,3,3,3,2,3,3,1,4
289,B,61,16,630,female,regular,never_married,1,36,2,1,1,1,5,5,4,5,4,1,2,1,1,1,5
290,B,40,9,409,male,regular,married,2,43,3,3,3,3,3,3,2,3,2,1,4,4,2,3,3
291,B,29,16,361,male,regular,never_married,2,40,2,2,2,1,3,2,2,1,1,3,3,4,3,3,3
292,B,46,14,0,male,not_employed,married,2,0,4,4,4,4,2,2,1,1,3,4,4,4,4,3,2
293,A,68,16,129,female,not_employed,married,2,0,3,3,3,2,4,4,3,4,3,3,2,1,2,2,4
294,B,54,9,86,male,not_employed,married,3,0,2,3,3,3,1,4,3,5,4,3,2,2,3,3,4
295,A,62,14,941,female,regular,widowed,2,47,3,3,4,3,4,3,2,4,3,3,4,3,3,3,3
296,A,72,14,90,female,nonregular,married,2,14,3,3,2,3,3,4,3,3,5,1,2,2,1,3,4
297,B,22,12,235,male,regular,never_married,1,47,1,1,2,2,5,4,2,3,3,3,1,2,2,1,5
298,B,27,12,331,female,regular,never_married,1,51,2,2,2,4,3,3,2,4,2,3,2,2,3,2,1
299,B,77,12,457,male,not_employed,widowed,1,0,2,1,2,4,4,3,3,3,4,4,2,5,3,3,3
300,A,69,12,173,male,not_employed,married,5,0,4,3,4,4,1,2,4,2,2,4,4,5,4,3,2
301,A,33,14,479,male,regular,never_married,1,39,3,3,4,4,4,3,2,3,4,3,5,5,5,5,3
302,A,58,18,734,male,regular,married,2,42,3,5,4,3,2,4,4,3,2,2,3,3,2,3,5
303,B,48,16,76,male,not_employed,married,2,0,3,1,2,1,4,3,3,3,3,4,2,4,2,2,4
304,A,41,9,129,female,not_employed,never_married,1,0,2,3,3,4,3,4,4,5,3,2,4,3,3,4,1
305,A,53,9,456,female,regular,married,2,42,4,1,3,2,4,3,4,2,4,4,4,2,3,3,3
306,B,21,12,79,male,nonregular,never_married,2,27,1,1,3,2,4,3,2,3,4,4,4,2,3,2,2
307,B,74,14,0,male,not_employed,divorced,2,0,4,4,3,2,2,2,4,4,4,2,2,1,3,2,4
308,A,74,12,111,male,self_employed,married,2,24,3,3,3,4,3,3,5,2,4,3,2,2,3,2,1
309,B,64,12,101,female,not_employed,married,4,0,4,2,1,1,4,3,2,3,3,3,2,3,1,1,2
310,A,28,14,240,male,regular,married,6,31,3,4,2,3,4,4,4,3,5,3,2,2,1,1,5
311,B,65,12,114,male,nonregular,never_married,1,17,3,2,2,2,5,2,3,1,2,4,5,4,5,4,2
312,A,47,12,175,male,self_employed,married,2,45,2,4,2,2,5,5,3,3,4,4,3,3,3,3,4
313,B,60,9,307,male,self_employed,never_married,2,31,4,3,4,3,2,2,4,4,3,4,4,4,5,4,1
314,A,75,9,145,male,not_employed,married,4,0,3,3,4,3,4,3,5,3,3,2,3,4,4,5,3
315,A,65,12,152,female,not_employed,married,2,0,2,2,4,2,3,1,2,4,1,2,3,3,4,3,5
316,A,69,12,93,male,not_employed,married,2,0,1,3,2,3,4,3,2,2,2,4,2,2,3,3,3
317,A,50,14,264,male,nonregular,married,3,23,4,4,5,5,1,2,4,3,3,4,1,4,3,2,4
318,B,48,9,177,female,not_employed,married,2,0,3,2,3,2,3,3,4,3,3,2,2,3,4,3,4
319,A,71,12,244,male,self_employed,widowed,1,45,5,5,4,4,3,3,1,3,3,5,2,3,3,2,3
320,A,59,16,103,male,not_employed,married,6,0,5,3,5,4,3,3,4,4,2,3,2,4,2,3,1
321,B,40,9,126,male,not_employed,divorced,1,0,2,3,2,1,5,5,2,3,1,1,4,4,2,4,2
322,A,56,12,178,female,not_employed,married,2,0,3,4,2,3,4,3,3,4,4,3,3,4,2,2,4
323,A,49,9,0,female,not_employed,married,2,0,1,1,1,1,4,3,2,3,4,4,2,3,2,1,5
324,A,70,12,146,male,not_employed,married,5,0,3,3,4,3,3,4,3,4,4,2,3,3,3,3,2
325,B,64,16,596,male,regular,married,3,53,3,3,2,3,1,2,2,1,1,2,4,5,3,5,3
326,B,49,12,421,female,regular,married,3,50,5,3,3,4,3,3,4,3,3,3,4,2,5,4,2
327,B,46,16,0,male,not_employed,married,2,0,4,3,2,3,4,4,3,3,3,5,4,3,3,4,2
328,A,76,12,220,female,not_employed,married,2,0,4,2,5,4,2,4,5,4,4,2,3,4,3,4,2
329,B,42,12,254,male,regular,married,4,41,4,4,3,4,4,5,3,4,4,3,3,3,1,2,5
330,A,27,16,558,male,regular,married,3,44,3,4,3,3,3,2,3,3,4,3,2,3,2,2,3
331,B,57,12,727,female,self_employed,divorced,1,39,4,4,5,5,2,1,2,1,3,4,4,4,4,4,2
332,B,68,12,97,male,not_employed,divorced,1,0,3,4,2,3,5,5,5,5,5,2,2,2,3,2,5
333,B,27,16,438,male,regular,never_married,2,46,1,1,1,1,4,3,2,3,2,4,3,4,4,3,3
334,B,63,12,109,male,not_employed,married,3,0,2,4,3,3,3,2,2,3,3,1,4,4,4,4,3
335,B,74,12,232,male,not_employed,married,4,0,5,4,4,4,1,3,4,4,3,3,3,2,4,3,3
336,A,62,12,209,male,not_employed,married,4,0,5,5,5,5,2,1,1,1,3,4,5,5,5,5,1
337,A,27,9,232,male,self_employed,never_married,2,70,3,2,2,2,3,2,5,4,3,5,3,3,2,4,3
338,A,23,12,237,female,self_employed,never_married,3,41,2,1,4,2,3,5,5,5,5,1,1,1,3,1,5
339,B,61,18,548,male,regular,married,2,34,1,1,4,1,4,3,3,2,2,3,2,3,3,3,3
340,A,37,12,644,female,regular,married,2,38,3,4,3,3,1,3,2,3,3,5,2,4,4,3,3
341,A,31,16,396,female,regular,married,4,33,2,2,1,3,5,4,4,4,4,3,2,2,2,1,4
342,B,58,16,0,female,not_employed,married,4,0,3,3,2,3,3,1,3,1,2,5,5,3,4,3,2
343,B,27,12,183,female,nonregular,married,5,20,2,2,5,4,3,4,5,3,4,2,4,2,4,3,3
344,B,38,12,216,male,nonregular,never_married,3,22,2,2,1,3,4,3,5,4,4,4,1,1,4,2,3
345,A,25,18,346,male,regular,never_married,6,39,2,2,2,1,3,3,4,3,4,4,2,2,3,3,4
346,A,66,9,180,male,not_employed,married,2,0,3,4,2,4,1,2,3,4,2,3,3,3,2,2,2
347,B,23,14,211,female,nonregular,never_married,6,11,3,3,3,3,3,2,1,1,1,4,4,3,3,2,4
348,B,58,12,162,male,nonregular,divorced,1,25,2,2,4,3,3,4,4,4,5,4,1,3,2,1,4
349,B,34,14,384,female,regular,never_married,4,36,1,1,2,2,5,4,4,4,5,2,2,1,3,2,3
350,B,74,12,486,female,nonregular,widowed,1,17,2,2,2,2,3,2,1,3,3,4,1,2,3,3,3
351,B,63,12,88,female,not_employed,married,6,0,4,5,3,4,2,4,3,4,3,3,3,3,2,3,3
352,A,32,14,439,female,regular,married,2,45,2,3,2,5,3,2,3,2,2,4,3,3,3,3,3
353,B,53,16,71,female,not_employed,married,2,0,2,2,3,3,2,3,3,2,4,3,2,3,4,3,2
354,A,72,12,115,female,not_employed,widowed,2,0,2,3,3,2,3,5,4,3,3,2,5,3,3,3,3
355,A,46,14,529,female,regular,married,3,42,3,3,3,3,5,4,2,3,3,3,3,3,3,2,5
356,A,70,18,497,male,regular,married,6,34,5,5,4,5,2,1,5,3,1,4,4,3,2,3,1
357,A,37,18,642,male,regular,married,2,40,5,4,5,5,2,3,2,2,3,4,2,3,4,3,2
358,B,70,12,0,female,not_employed,married,2,0,4,4,4,5,1,4,4,3,4,1,5,4,4,4,3
359,A,50,12,620,male,regular,widowed,2,45,2,2,2,3,2,1,3,2,2,2,3,2,3,3,2
360,A,66,9,0,male,not_employed,divorced,5,0,4,1,2,2,4,1,1,3,1,4,5,5,5,4,2
361,A,27,16,258,male,self_employed,never_married,1,50,3,2,2,3,3,2,3,4,2,4,1,1,1,1,4
362,B,32,16,467,male,regular,divorced,2,35,1,3,2,2,3,2,1,2,2,4,2,3,3,3,4
363,A,21,12,465,male,regular,married,2,38,2,2,3,3,2,3,4,4,2,3,3,3,3,2,4
364,B,60,12,0,female,not_employed,married,2,0,4,4,3,4,3,3,3,4,4,4,4,2,4,3,2
365,A,58,14,124,male,nonregular,married,2,29,3,3,4,3,2,3,5,3,3,1,4,2,3,4,3
366,A,67,12,419,male,regular,married,3,34,3,4,4,3,3,3,3,3,1,3,4,5,3,5,2
367,B,44,9,408,female,regular,married,5,40,4,4,4,4,1,3,4,3,5,1,2,2,5,3,2
368,A,57,14,101,female,not_employed,married,2,0,5,3,3,4,4,2,3,3,2,3,3,3,4,3,2
369,A,71,9,0,male,not_employed,married,2,0,2,2,4,2,3,3,3,4,2,4,5,4,3,5,1
370,B,75,18,0,male,not_employed,widowed,3,0,4,3,5,2,2,3,3,3,4,3,3,3,2,2,3
371,B,69,16,0,female,not_employed,married,3,0,5,3,4,5,3,1,1,1,1,5,4,4,4,4,3
372,A,49,16,85,male,not_employed,never_married,1,0,2,3,1,2,4,3,3,4,3,3,2,1,3,2,4
373,A,35,12,296,female,regular,never_married,4,51,3,3,1,2,1,4,4,4,4,3,2,2,1,3,4
374,B,44,14,0,male,not_employed,married,4,0,3,2,1,3,5,3,4,3,3,2,3,1,3,2,3
375,B,70,9,0,male,not_employed,widowed,2,0,4,3,4,3,3,3,3,2,1,5,3,5,3,4,2
376,A,33,16,385,female,regular,married,3,38,4,2,4,3,3,5,4,2,3,5,4,4,2,3,3
377,A,42,16,759,male,regular,never_married,1,45,1,2,2,1,4,1,1,3,3,3,2,3,4,2,4
378,B,65,12,187,female,self_employed,widowed,4,58,4,4,3,3,2,3,2,2,3,4,5,5,5,5,2
379,A,67,18,0,male,not_employed,married,4,0,2,4,1,1,2,5,3,4,4,1,3,3,3,2,3
380,A,49,12,403,female,self_employed,married,4,33,3,3,2,3,3,2,2,2,3,2,3,5,4,3,4
381,B,28,9,245,male,not_employed,never_married,1,0,2,3,2,1,4,4,4,3,3,3,5,2,3,4,2
382,A,23,14,587,female,regular,never_married,1,41,2,1,3,2,5,4,4,2,4,3,1,2,1,1,5
383,B,24,12,198,female,regular,never_married,1,37,2,3,2,3,4,1,2,2,3,3,2,2,3,2,3
384,A,70,18,1014,male,self_employed,married,2,38,5,5,5,5,1,4,3,4,3,3,4,4,5,4,2
385,B,67,9,95,female,not_employed,divorced,1,0,4,5,5,5,1,2,3,2,3,3,4,4,4,5,2
386,A,54,9,267,male,self_employed,married,2,39,3,3,3,3,3,2,2,1,1,2,3,4,4,4,3
387,A,79,14,90,male,not_employed,never_married,1,0,5,5,5,5,2,1,1,2,1,4,4,5,5,5,2
388,B,49,16,667,female,regular,married,2,36,3,2,2,1,4,4,2,1,2,4,3,3,2,1,2
389,A,52,12,229,female,nonregular,never_married,1,8,3,5,3,5,1,4,5,4,5,1,4,2,5,3,3
390,A,44,16,271,female,nonregular,never_married,3,16,2,2,3,2,5,4,4,3,3,5,3,3,3,3,4
391,A,66,16,499,male,regular,widowed,2,42,3,3,3,2,3,5,5,5,5,2,2,3,2,1,4
392,A,58,18,1109,female,regular,married,5,43,4,5,4,4,2,4,2,2,4,2,2,3,4,3,3
393,A,38,12,340,male,self_employed,never_married,2,45,3,2,4,3,1,4,4,4,3,4,4,3,3,4,4
394,B,75,14,0,male,not_employed,married,3,0,3,4,3,5,2,1,2,3,3,3,3,2,3,1,4
395,B,27,9,0,female,not_employed,married,5,0,1,1,2,1,4,3,5,5,4,4,1,1,2,1,4
396,B,79,16,291,male,not_employed,married,3,0,3,3,3,4,3,5,3,3,4,2,2,5,2,3,4
397,B,73,16,530,female,regular,married,2,35,5,4,5,5,3,2,3,2,3,5,5,5,5,5,1
398,A,69,16,180,female,self_employed,married,3,32,4,4,3,5,1,3,3,5,4,3,4,4,5,4,2
399,B,78,16,89,male,not_employed,married,5,0,2,1,1,2,5,3,4,3,3,2,3,4,4,4,3
400,A,47,14,435,male,regular,married,3,31,3,4,3,2,4,3,2,3,1,2,3,4,3,5,3
401,B,34,18,1074,male,regular,married,3,39,1,2,2,2,5,4,2,4,4,3,1,1,2,2,4
402,B,61,16,90,male,not_employed,married,2,0,4,4,5,4,3,2,3,3,2,4,5,4,5,5,2
403,A,66,12,0,male,not_employed,married,6,0,4,5,4,4,1,2,2,1,2,4,4,4,4,4,1
404,A,71,14,383,male,not_employed,widowed,3,0,5,4,5,4,2,3,4,3,3,3,3,5,4,5,3
405,A,46,12,400,female,regular,married,4,40,2,3,3,2,3,4,3,4,4,3,2,4,2,3,5
406,B,22,16,392,female,regular,never_married,1,38,2,3,2,3,4,4,4,3,4,3,2,3,1,3,4
407,B,23,9,285,male,regular,married,5,35,1,3,2,3,3,4,5,4,3,3,3,2,2,1,5
408,B,34,16,364,male,regular,never_married,2,37,1,2,1,1,2,5,3,5,3,3,1,1,2,1,4
409,B,64,16,475,female,regular,married,2,41,3,5,4,4,2,2,1,1,1,3,3,2,3,4,2
410,A,61,12,0,male,not_employed,married,2,0,4,4,3,4,1,3,3,1,4,3,3,3,3,3,4
411,B,34,16,330,male,regular,married,3,48,4,5,4,3,2,2,3,2,2,5,3,3,2,3,2
412,A,71,9,99,male,not_employed,married,2,0,1,2,1,3,4,4,4,3,4,3,4,3,5,4,2
413,B,61,12,529,male,regular,married,4,42,4,2,4,4,2,1,3,4,1,3,5,4,5,4,1
414,B,58,12,172,male,nonregular,married,3,12,2,2,4,3,4,4,5,4,5,1,3,3,4,4,1
415,A,22,16,359,female,regular,never_married,3,42,2,3,2,1,3,3,2,2,3,4,1,1,1,1,4
416,B,63,12,66,female,not_employed,married,3,0,3,4,3,2,4,1,5,2,3,4,3,3,4,4,3
417,B,53,14,225,female,nonregular,married,3,22,4,4,3,4,1,4,4,2,3,1,5,2,3,3,3
418,A,54,12,0,male,not_employed,married,2,0,2,3,3,2,4,2,3,3,3,4,4,3,3,3,3
419,A,21,14,191,male,self_employed,never_married,4,42,3,2,3,1,5,5,5,5,5,1,1,1,1,2,4
420,B,30,16,728,male,self_employed,never_married,3,53,2,3,4,2,4,2,2,3,2,3,2,2,1,3,5
421,A,44,12,408,male,nonregular,married,2,24,2,2,1,2,3,5,5,5,5,1,3,2,3,3,5
422,A,55,9,430,female,self_employed,married,2,57,4,4,3,5,3,4,4,3,3,3,2,2,2,3,4
423,B,43,18,294,male,not_employed,never_married,1,0,2,4,4,2,3,2,3,2,2,4,5,3,4,3,1
424,B,61,16,93,female,not_employed,divorced,1,0,3,1,3,4,3,2,3,2,1,3,3,5,4,3,3
425,A,61,12,299,female,regular,divorced,3,47,2,3,3,2,2,3,3,4,3,3,2,2,2,2,5
426,B,63,9,253,male,nonregular,married,4,11,4,3,2,4,2,4,3,2,2,3,5,3,2,4,1
427,B,44,9,453,male,regular,never_married,1,39,3,3,4,3,2,3,3,1,3,4,3,3,4,4,3
428,B,37,12,252,male,nonregular,married,6,28,3,4,2,3,2,1,2,2,1,5,3,3,3,4,3
429,B,38,12,138,female,not_employed,never_married,1,0,2,2,2,1,3,3,4,2,4,2,1,1,3,1,4
430,B,74,12,510,female,regular,widowed,1,46,5,5,5,4,1,2,2,3,3,4,4,4,5,4,3
431,B,77,16,108,male,not_employed,never_married,1,0,1,1,2,1,4,4,5,3,3,4,3,2,3,2,5
432,B,78,12,0,other,not_employed,married,3,0,4,4,3,4,3,3,4,3,2,4,5,5,4,5,1
433,A,78,12,198,male,not_employed,divorced,1,0,4,3,3,1,1,2,4,3,3,3,4,3,5,3,2
434,B,71,16,369,female,not_employed,widowed,1,0,5,5,4,3,2,3,3,4,3,3,5,5,4,5,2
435,B,27,12,406,female,regular,married,3,44,4,4,3,3,3,3,4,5,3,2,4,2,3,2,5
436,B,43,14,133,female,not_employed,married,3,0,5,3,4,4,1,2,3,3,4,1,3,4,3,3,3
437,A,66,12,224,female,not_employed,divorced,1,0,3,3,3,4,1,3,1,2,2,3,2,2,2,2,3
438,A,22,16,210,male,regular,never_married,1,44,3,4,3,4,2,1,2,2,2,4,2,3,4,2,3
439,A,69,12,301,female,self_employed,divorced,2,52,3,4,3,3,3,2,4,4,3,4,4,3,5,2,4
440,B,29,12,207,female,regular,divorced,1,41,2,4,3,3,2,2,3,2,2,4,3,3,3,5,3
441,B,40,14,228,female,nonregular,married,3,14,2,1,2,1,2,3,3,3,4,3,2,2,2,2,5
442,B,25,12,371,male,regular,married,4,35,1,4,2,2,3,3,5,3,4,4,2,3,1,3,5
443,A,49,16,426,female,self_employed,married,3,15,4,3,3,3,4,4,3,3,4,1,3,5,3,4,3
444,A,78,9,91,female,not_employed,married,3,0,3,3,3,3,4,3,4,3,2,3,4,4,5,5,3
445,B,31,16,249,male,regular,never_married,4,48,3,4,5,5,1,2,2,3,2,3,4,2,2,3,3
446,B,23,16,459,male,regular,married,2,42,3,3,3,4,3,3,3,4,3,5,3,2,3,3,2
447,B,30,12,397,female,regular,married,2,45,2,3,2,2,3,2,3,2,3,4,1,1,1,1,2
448,A,38,12,280,other,nonregular,married,2,13,4,4,4,4,3,2,3,5,4,4,5,2,3,4,2
449,B,34,12,548,female,self_employed,married,4,57,4,3,2,3,4,2,3,4,5,5,3,2,2,1,3
450,B,48,9,192,male,not_employed,never_married,1,0,2,2,3,1,5,4,4,4,4,3,1,2,2,2,4
451,B,29,9,0,male,not_employed,never_married,1,0,3,4,5,4,1,2,2,4,3,2,4,3,2,2,5
452,B,23,12,262,male,regular,never_married,3,45,3,2,2,4,3,3,4,5,3,1,2,3,3,3,1
453,B,24,14,339,female,regular,never_married,2,41,3,3,4,3,3,3,2,3,1,4,4,3,3,3,4
454,B,58,12,90,male,not_employed,married,2,0,2,2,2,3,3,4,4,4,4,4,2,2,2,1,4
455,B,50,12,124,female,not_employed,divorced,1,0,4,3,4,3,3,4,4,3,3,3,4,2,3,4,2
456,A,63,14,516,female,regular,married,2,35,4,4,4,4,2,4,4,5,4,3,1,2,2,2,4
457,B,58,12,152,male,nonregular,married,2,29,1,2,2,1,5,3,3,5,3,3,3,3,5,4,3
458,B,33,12,116,male,nonregular,married,2,30,3,3,3,4,2,2,3,1,1,5,4,4,3,4,2
459,B,44,12,0,male,not_employed,married,2,0,1,2,3,3,3,5,4,3,3,2,4,4,4,5,3
460,A,30,16,449,male,nonregular,married,3,30,2,1,3,2,4,5,3,3,4,4,2,1,3,3,4
461,B,36,18,163,male,self_employed,divorced,3,30,3,2,4,3,3,3,3,4,3,3,2,1,1,4,3
462,B,53,14,528,male,regular,married,4,42,2,1,1,1,5,1,3,3,3,4,1,1,1,1,5
463,A,36,12,437,male,regular,never_married,1,42,2,2,2,1,4,5,4,4,5,2,1,1,1,1,3
464,B,55,16,526,female,regular,never_married,4,38,4,4,4,5,3,3,3,1,3,4,4,3,5,4,4
465,B,61,12,479,male,regular,married,3,45,2,3,3,2,3,1,1,3,2,4,3,3,3,2,2
466,A,73,14,0,female,not_employed,married,2,0,3,2,4,3,5,4,3,2,4,3,1,3,1,2,4
467,A,62,16,0,male,not_employed,married,5,0,5,5,4,4,3,2,1,3,2,3,3,5,5,4,2
468,B,20,14,182,female,nonregular,never_married,2,24,1,1,2,1,3,3,3,3,4,3,3,2,3,3,2
469,A,58,9,1291,male,self_employed,married,4,37,4,5,4,3,2,3,3,3,3,4,5,4,2,4,2
470,B,46,18,641,female,regular,married,2,44,3,1,2,2,5,4,3,3,3,4,4,4,4,3,4
471,B,77,16,0,male,not_employed,divorced,2,0,3,4,4,3,2,1,1,2,1,4,2,3,2,4,3
472,B,40,9,536,male,regular,never_married,1,40,3,2,4,4,3,2,3,3,2,4,3,2,1,2,3
473,B,21,14,385,male,regular,never_married,4,34,2,2,3,3,2,3,2,2,4,3,2,1,2,2,4
474,A,46,12,508,female,regular,married,2,41,1,1,2,2,5,5,5,4,5,1,2,2,4,1,4
475,A,36,14,690,female,regular,married,2,39,3,4,4,3,3,1,3,2,1,3,3,2,3,2,4
476,B,44,14,228,male,self_employed,married,4,29,2,2,1,2,2,1,1,1,1,4,5,5,5,5,2
477,A,41,12,682,female,regular,married,5,38,3,2,2,1,4,5,5,5,5,2,2,3,3,2,3
478,B,54,14,612,male,regular,married,3,41,3,3,3,3,3,5,5,4,5,1,1,1,1,1,5
479,B,56,12,233,male,not_employed,married,2,0,3,3,2,4,5,2,1,1,2,4,1,3,2,2,5
480,A,48,12,149,female,self_employed,never_married,2,51,3,3,2,4,4,2,2,4,3,3,3,4,4,4,1
481,A,59,12,200,female,not_employed,married,3,0,2,3,1,3,4,1,1,1,1,5,5,4,2,3,3
482,B,23,12,256,male,regular,married,4,45,3,3,2,2,4,2,3,3,3,3,2,1,2,1,4
483,A,71,12,251,female,nonregular,married,4,20,5,5,4,5,3,1,1,2,1,4,2,3,4,3,4
484,B,77,16,276,female,self_employed,married,3,42,4,3,4,4,2,3,3,5,4,2,4,4,3,4,2
485,A,40,9,337,female,regular,married,3,36,2,3,2,2,5,2,3,3,2,3,1,1,1,2,5
486,B,73,14,50,male,not_employed,married,6,0,3,2,4,4,2,4,5,3,4,2,4,4,4,4,2
487,B,59,12,268,female,not_employed,married,4,0,3,4,2,3,2,3,3,2,2,2,3,3,5,3,3
488,A,32,16,402,male,regular,never_married,3,40,2,1,2,1,4,5,4,4,4,3,2,3,2,2,3
489,A,23,12,218,male,regular,never_married,1,49,4,2,1,2,5,1,2,2,3,5,2,3,2,2,4
490,A,21,12,267,female,regular,never_married,2,50,2,2,4,2,4,5,3,3,3,2,3,3,1,1,4
491,B,37,9,490,female,self_employed,married,6,50,2,2,4,3,3,3,2,4,4,4,2,2,3,1,5
492,B,35,9,371,male,self_employed,never_married,1,26,3,4,2,3,2,4,4,5,4,2,1,1,1,1,5
493,B,23,16,363,male,self_employed,never_married,2,53,2,3,3,2,3,3,3,3,3,2,1,1,1,2,5
494,B,58,14,276,other,not_employed,never_married,2,0,4,4,3,4,3,3,3,4,4,3,5,5,4,5,3
495,A,40,14,357,male,regular,married,4,38,4,3,4,4,2,4,4,3,3,2,1,4,2,3,3
496,A,68,12,507,female,regular,married,2,44,2,4,5,3,3,5,3,4,5,1,4,4,2,3,3
497,B,73,12,228,male,not_employed,married,2,0,4,5,5,4,2,3,2,5,2,2,3,4,5,4,2
498,A,42,12,183,female,nonregular,never_married,1,20,3,4,3,3,5,3,4,2,2,3,2,2,1,2,5
499,A,58,12,0,female,not_employed,married,3,0,5,4,4,4,1,2,1,3,1,5,3,3,2,2,3
500,A,25,12,364,female,regular,divorced,1,37,3,3,3,3,2,3,3,1,2,3,2,3,3,3,2
501,A,71,12,347,male,self_employed,widowed,1,56,2,2,3,3,5,3,4,5,3,4,2,1,3,1,5
502,A,30,16,323,male,regular,married,5,45,4,3,4,4,3,4,4,2,3,3,1,3,2,1,4
503,B,65,12,104,male,not_employed,married,3,0,2,1,4,3,3,5,4,4,4,3,4,4,4,4,3
504,B,22,9,111,other,nonregular,never_married,1,17,2,3,3,1,4,5,4,3,4,3,1,2,3,1,5
505,B,24,18,534,female,regular,never_married,2,43,2,4,2,1,5,3,2,3,3,4,2,2,2,2,3
506,A,23,14,211,male,regular,married,3,46,1,3,2,2,5,3,3,2,5,1,1,1,2,1,5
507,B,35,16,420,male,regular,married,5,42,1,1,2,1,5,5,5,5,5,3,2,1,2,1,5
508,B,28,16,379,female,regular,never_married,1,45,2,2,3,3,3,5,5,5,4,1,2,3,1,1,3
509,B,32,14,109,female,not_employed,never_married,5,0,3,3,3,2,4,3,4,5,4,3,2,2,3,3,4
510,A,27,12,342,female,regular,married,4,38,4,4,3,2,4,5,5,3,5,2,1,1,1,1,4
511,A,38,14,285,male,nonregular,married,4,22,4,5,3,5,2,4,4,3,4,1,3,5,3,4,3
512,A,79,12,0,female,not_employed,married,2,0,3,5,5,5,1,3,3,3,3,3,5,4,4,4,3
513,A,72,14,123,male,nonregular,widowed,1,28,3,3,4,3,2,5,3,3,3,5,3,5,3,3,2
514,A,30,9,313,male,regular,married,2,40,2,2,1,2,3,3,3,2,2,4,1,3,2,1,3
515,A,62,14,770,female,regular,married,4,43,3,3,3,2,4,3,3,4,4,4,2,2,2,2,4
516,B,58,12,276,female,nonregular,married,2,22,4,2,3,5,3,2,3,2,2,2,3,2,3,3,4
517,B,41,14,0,female,not_employed,married,2,0,2,3,5,2,3,4,2,2,4,1,2,2,2,1,3
518,B,30,12,206,male,regular,married,3,43,3,3,3,3,4,3,2,3,4,4,4,3,1,3,5
519,A,29,16,606,female,regular,married,4,38,4,3,5,4,2,3,3,3,3,3,1,1,1,3,1
